finish_timestamp,start_timestamp,predicted_state,invalid,p_drilling,p_in_slips,p_off_bottom,p_reaming,p_shut_in,p_trip_in_slips
1247009485.0,1247009440.0,drilling,false,1,0,0,0,0,0
1247009488.0,1247009443.0,drilling,false,1,0,0,0,0,0
1247009491.0,1247009446.0,drilling,false,1,0,0,0,0,0
1247009494.0,1247009449.0,drilling,false,1,0,0,0,0,0
1247009497.0,1247009452.0,drilling,false,1,0,0,0,0,0
1247009500.0,1247009455.0,drilling,false,1,0,0,0,0,0
1247009503.0,1247009458.0,drilling,false,1,0,0,0,0,0
1247009506.0,1247009461.0,drilling,false,1,0,0,0,0,0
1247009509.0,1247009464.0,drilling,false,1,0,0,0,0,0
1247009512.0,1247009467.0,drilling,false,1,0,0,0,0,0
1247009515.0,1247009470.0,drilling,false,1,0,0,0,0,0
1247009518.0,1247009473.0,drilling,false,1,0,0,0,0,0
1247009521.0,1247009476.0,drilling,false,1,0,0,0,0,0
1247009524.0,1247009479.0,drilling,false,1,0,0,0,0,0
1247009527.0,1247009482.0,drilling,false,1,0,0,0,0,0
1247009530.0,1247009485.0,drilling,false,1,0,0,0,0,0
1247009533.0,1247009488.0,drilling,false,1,0,0,0,0,0
1247009536.0,1247009491.0,drilling,false,1,0,0,0,0,0
1247009539.0,1247009494.0,drilling,false,1,0,0,0,0,0
1247009542.0,1247009497.0,drilling,false,1,0,0,0,0,0
1247009545.0,1247009500.0,drilling,false,1,0,0,0,0,0
1247009548.0,1247009503.0,drilling,false,1,0,0,0,0,0
1247009551.0,1247009506.0,drilling,false,1,0,0,0,0,0
1247009554.0,1247009509.0,drilling,false,1,0,0,0,0,0
1247009557.0,1247009512.0,drilling,false,1,0,0,0,0,0
1247009560.0,1247009515.0,drilling,false,1,0,0,0,0,0
1247009563.0,1247009518.0,drilling,false,1,0,0,0,0,0
1247009566.0,1247009521.0,drilling,false,1,0,0,0,0,0
1247009575.0,1247009524.0,drilling,false,1,0,0,0,0,0
1247009578.0,1247009527.0,drilling,false,1,0,0,0,0,0
1247009581.0,1247009530.0,drilling,false,1,0,0,0,0,0
1247009584.0,1247009533.0,drilling,false,1,0,0,0,0,0
1247009587.0,1247009536.0,drilling,false,1,0,0,0,0,0
1247009590.0,1247009539.0,drilling,false,1,0,0,0,0,0
1247009593.0,1247009542.0,drilling,false,1,0,0,0,0,0
1247009596.0,1247009545.0,drilling,false,1,0,0,0,0,0
1247009599.0,1247009548.0,drilling,false,1,0,0,0,0,0
1247009602.0,1247009551.0,drilling,false,1,0,0,0,0,0
1247009605.0,1247009554.0,drilling,false,1,0,0,0,0,0
1247009608.0,1247009557.0,drilling,false,1,0,0,0,0,0
1247009611.0,1247009560.0,drilling,false,1,0,0,0,0,0
1247009614.0,1247009563.0,drilling,false,1,0,0,0,0,0
1247009617.0,1247009566.0,drilling,false,1,0,0,0,0,0
1247009620.0,1247009575.0,drilling,false,1,0,0,0,0,0
